kodu,lõppseis,võõras,aasta,koduväravad,võõraväravad
Nõmme Kalju FC,2 - 1,Tallinna FCI Levadia,2019,2.0,1.0
JK Narva Trans,0 - 1,Tallinna FC Flora,2019,0.0,1.0
Paide Linnameeskond,5 - 0,Maardu Linnameeskond,2019,5.0,0.0
Viljandi JK Tulevik,1 - 1,JK Tallinna Kalev,2019,1.0,1.0
Tartu JK Tammeka,1 - 1,Tallinna FCI Levadia,2019,1.0,1.0
JK Narva Trans,4 - 2,FC Kuressaare,2019,4.0,2.0
Maardu Linnameeskond,2 - 2,Viljandi JK Tulevik,2019,2.0,2.0
JK Tallinna Kalev,0 - 2,Paide Linnameeskond,2019,0.0,2.0
Tallinna FC Flora,1 - 1,Nõmme Kalju FC,2019,1.0,1.0
JK Tallinna Kalev,0 - 3,JK Narva Trans,2019,0.0,3.0
Tartu JK Tammeka,1 - 2,Nõmme Kalju FC,2019,1.0,2.0
Viljandi JK Tulevik,3 - 0,FC Kuressaare,2019,3.0,0.0
Paide Linnameeskond,1 - 1,Tallinna FC Flora,2019,1.0,1.0
Tallinna FCI Levadia,3 - 1,Maardu Linnameeskond,2019,3.0,1.0
Tallinna FC Flora,5 - 0,JK Tallinna Kalev,2019,5.0,0.0
Tallinna FCI Levadia,1 - 1,Viljandi JK Tulevik,2019,1.0,1.0
FC Kuressaare,0 - 3,Paide Linnameeskond,2019,0.0,3.0
Nõmme Kalju FC,2 - 2,JK Narva Trans,2019,2.0,2.0
Maardu Linnameeskond,0 - 1,Tartu JK Tammeka,2019,0.0,1.0
Viljandi JK Tulevik,0 - 3,Nõmme Kalju FC,2019,0.0,3.0
JK Tallinna Kalev,2 - 1,FC Kuressaare,2019,2.0,1.0
JK Narva Trans,3 - 2,Tartu JK Tammeka,2019,3.0,2.0
Maardu Linnameeskond,2 - 4,Paide Linnameeskond,2019,2.0,4.0
Tallinna FC Flora,2 - 1,Tallinna FCI Levadia,2019,2.0,1.0
Paide Linnameeskond,4 - 0,Viljandi JK Tulevik,2019,4.0,0.0
Nõmme Kalju FC,6 - 0,JK Tallinna Kalev,2019,6.0,0.0
Tallinna FCI Levadia,1 - 0,JK Narva Trans,2019,1.0,0.0
FC Kuressaare,1 - 0,Maardu Linnameeskond,2019,1.0,0.0
Tartu JK Tammeka,1 - 6,Tallinna FC Flora,2019,1.0,6.0
JK Tallinna Kalev,0 - 1,Tallinna FCI Levadia,2019,0.0,1.0
Nõmme Kalju FC,4 - 0,Maardu Linnameeskond,2019,4.0,0.0
JK Narva Trans,0 - 1,Paide Linnameeskond,2019,0.0,1.0
Viljandi JK Tulevik,0 - 3,Tallinna FC Flora,2019,0.0,3.0
Tartu JK Tammeka,4 - 0,FC Kuressaare,2019,4.0,0.0
